ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y
24,154517d8-20b0-4492-b231-ae2f8f205e25,848,Forestal_Plantado,1/11/2022 3:00:00 PM,Rocha,prensa,,5/25/2022 2:58:55 PM,sinae_covid_19,5/25/2022 2:58:55 PM,sinae_covid_19,-53.8886247178242,-34.415756035927
25,7f8ceb11-ff6d-47c0-8d37-19900aa066a8,961,De_Campo,1/11/2022 3:00:00 PM,Florida,sgsp,,5/25/2022 3:20:02 PM,sinae_covid_19,5/25/2022 3:20:02 PM,sinae_covid_19,-55.6704714022973,-34.1118072922635
26,5189717a-b2a9-4ff4-877e-9d3effb3f8b4,852,Interface_Urbana,1/9/2022 3:00:00 PM,Montevideo,prensa,,5/25/2022 3:34:30 PM,sinae_covid_19,5/25/2022 3:34:30 PM,sinae_covid_19,-56.278068508324,-34.8737173835655
27,40b5dd5f-39d7-43ae-951b-a0f546c81536,959,Forestal_Plantado,1/9/2022 3:00:00 PM,Rio_Negro,sgsp,,5/25/2022 3:43:33 PM,sinae_covid_19,5/25/2022 3:43:33 PM,sinae_covid_19,-57.9800355340018,-32.9199744488544
28,b443f164-af5c-433f-9f28-f6aca8bd84a7,958,De_Campo,1/8/2022 3:00:00 PM,Durazno,sgsp,,5/25/2022 4:06:21 PM,sinae_covid_19,5/25/2022 4:06:21 PM,sinae_covid_19,-56.4731452047208,-32.9278482852964
29,27edfe8e-4709-4ed3-b3c5-474e37ad43d5,957,Interface_Urbana,1/7/2022 3:00:00 PM,Montevideo,sgsp,,5/25/2022 4:14:39 PM,sinae_covid_19,5/25/2022 4:14:39 PM,sinae_covid_19,-56.1808367265802,-34.8061628400565
30,2a3707fb-641e-4a5e-b922-ed316e2544ee,956,Interface_Urbana,1/7/2022 3:00:00 PM,Montevideo,sgsp,,5/25/2022 4:18:32 PM,sinae_covid_19,5/25/2022 4:18:32 PM,sinae_covid_19,-56.3249586829282,-34.8013132614233
31,3fdb51d8-22ab-454b-adf9-87f4d9c95e45,846,Interface_Urbana,1/6/2022 3:00:00 PM,Montevideo,cecoed,,5/25/2022 4:23:34 PM,sinae_covid_19,5/25/2022 4:23:34 PM,sinae_covid_19,-56.2831523195858,-34.76863351732
32,4153e4b4-6d5c-4583-8373-1c226160eaf2,954,Forestal_Plantado,1/6/2022 3:00:00 PM,Lavalleja,sgsp,,5/25/2022 4:41:30 PM,sinae_covid_19,5/25/2022 4:41:30 PM,sinae_covid_19,-55.0728861428701,-34.07669361669
33,73d19a35-090d-4bfe-b4b4-31d6ede0e45d,953,De_Campo,1/6/2022 3:00:00 PM,Colonia,sgsp,,5/25/2022 4:47:18 PM,sinae_covid_19,5/25/2022 4:47:18 PM,sinae_covid_19,-58.3206666652431,-33.8767423575422
34,207de1d1-0974-4b40-9afc-a088200afd82,952,Forestal_Plantado,1/6/2022 3:00:00 PM,Rio_Negro,sgsp,,5/25/2022 4:50:39 PM,sinae_covid_19,5/25/2022 4:50:39 PM,sinae_covid_19,-57.9566231763893,-32.8493717347369
35,320dd362-057c-4c42-bf8f-cdae2ca6d147,950,De_Campo,1/5/2022 3:00:00 PM,Paysandu,sgsp,,5/25/2022 4:59:13 PM,sinae_covid_19,5/25/2022 4:59:13 PM,sinae_covid_19,-57.9693611425832,-32.1806577538814
36,d98c9798-7a28-4b20-aa5d-6b7f82b378a6,951,De_Campo,1/5/2022 3:00:00 PM,Florida,sgsp,,5/25/2022 5:06:52 PM,sinae_covid_19,5/25/2022 5:06:52 PM,sinae_covid_19,-55.5942517383827,-33.9224002164587
37,ab3616be-9e80-40b3-ab4d-75aaeba1e4ea,841,Interface_Urbana,1/4/2022 3:00:00 PM,Canelones,prensa,,5/25/2022 5:14:56 PM,sinae_covid_19,5/25/2022 5:14:56 PM,sinae_covid_19,-56.0072867990148,-34.8425861457188
38,02fc97ae-f67c-48ea-8300-254a0e7b8afe,949,De_Campo,1/2/2022 3:00:00 PM,Rio_Negro,cecoed,,5/25/2022 5:23:01 PM,sinae_covid_19,5/25/2022 5:23:01 PM,sinae_covid_19,-56.6750224475165,-32.7000882798334
39,72c80c53-69ee-464a-b0a0-99b22a6f7143,948,De_Campo,1/2/2022 3:00:00 PM,Flores,cecoed,,5/25/2022 5:27:11 PM,sinae_covid_19,5/25/2022 5:27:11 PM,sinae_covid_19,-57.0202200945891,-33.4213071593902
40,de977d1f-b17b-4a09-9535-659d0e253dd8,946,De_Campo,1/2/2022 3:00:00 PM,Flores,sgsp,,5/25/2022 5:30:43 PM,sinae_covid_19,5/25/2022 5:30:43 PM,sinae_covid_19,-57.0956673806698,-33.2213908410554
41,d8f4ea52-66e3-4a87-a28e-a46988fc4493,945,Interface_Urbana,1/1/2022 3:00:00 PM,Artigas,cecoed,,5/25/2022 5:34:47 PM,sinae_covid_19,5/25/2022 5:34:47 PM,sinae_covid_19,-56.4326232748418,-30.4428757008947
42,d2689178-15f0-49de-beaf-a194e231c088,940,De_Campo,12/30/2021 3:00:00 PM,Canelones,sgsp,,5/25/2022 5:54:41 PM,sinae_covid_19,5/25/2022 5:54:41 PM,sinae_covid_19,-56.2560607739261,-34.6232547228869
43,27a073c3-8717-4198-b2c3-bf2a56d728d1,942,Interface_Urbana,12/30/2021 3:00:00 PM,Canelones,sgsp,,5/25/2022 5:58:33 PM,sinae_covid_19,5/25/2022 5:58:33 PM,sinae_covid_19,-56.0812517385558,-34.4523809403098
44,c948b101-76eb-4e90-a83d-2a4b5cd07c75,941,Interface_Urbana,12/30/2021 3:00:00 PM,Cerro_Largo,sgsp,,5/25/2022 6:02:29 PM,sinae_covid_19,5/25/2022 6:02:29 PM,sinae_covid_19,-54.15627,-32.34876
